id,text,category
969153,"agua mineral soprole next sin gas biobalance 1,5 l unidad",
966641,agua mineral ccu sin gas cachantun 5 l 6 unidades,
966389,agua mineral benedictino con gas 2 l 6 unidades,
1107035,agua mineral puyehue  con gas 12 x 500,
966395,agua mineral benedictino con gas 500 cc unidad,
1224660,agua mineral benedictino con gas 500 cc unidad,
1022973,agua mineral cachantun bidon 6 litros s/gas 4 unidades,
966680,agua mineral ccu light gas cachantun 500 cc unidad,
966229,"agua mineral andina sin gas vital 2,3 l unidad",
966679,"agua mineral ccu light gas cachantun 1,6 l unidad",
1107031,"agua mineral puyehue con gas 6 x 1,5 litros",
966230,agua mineral andina sin gas vital 5 l unidad,
1107032,"agua mineral puyehue sin gas 6 x 1,5 litros",
1026999,agua mineral cachantun con gas 250cc 12 unidades,
1027002,agua mineral cachantun con gas light 500 cc 12 unidades,
969151,"agua mineral soprole next con gas biobalance 1,5 l unidad",
969152,agua mineral soprole next con gas biobalance 500 cc unidad,
1107033,agua mineral puyehue  con  gas 12 x 330 ,
1107034,agua mineral puyehue sin gas 12 x 330 ,
1107024,"agua mineral puyehue light gas 6 x 1,5 litros",
969595,agua mineral the company basic sin gas 500 cc unidad,
966637,agua mineral ccu light gas cachantun 500 cc 6 unidades,
1221381,agua mineral vital 330cc unidad,
1224659,agua mineral benedictino sin gas 500 cc unidad,
1021877,"agua mineral nestle con gas 1,5 l  unidad",
966684,agua mineral ccu sin gas cachantun 5 l unidad,
1234588,agua mineral eden 2 litros con gas pack de 6 unidades,
1234592,agua mineral eden 500 cc con gas unidad,
966677,"agua mineral ccu con gas cachantun 2,25 l unidad",
966634,"agua mineral ccu con gas cachantun 2,25 l 6 unidades",
1107029,agua mineral puyehue con gas 12 x 750,
1107028,agua mineral puyehue light gas 12 x 500,
1234593,agua mineral eden 500 cc sin gas unidad,
1221377,agua mineral vital 330cc sin gas unidad,
969592,agua mineral the company basic light gas 500 cc unidad,
969593,"agua mineral the company basic sin gas 1,5 l unidad",
1234601,agua mineral eden 5 litros sin gas unidad,
1022954,"agua mineral ccu agua mineral pure 15 6 unidades  1,5",
1021354,agua mineral ccu cachantun con gas 250 cc unidad,
1021482,agua mineral ccu pure life 5 litros unidad,
967300,agua mineral dufour sin gas 5 litros 4 unidades,
1107030,agua mineral puyehue sin gras 12 x 750,
1220689,agua mineral ccu cachantun 350cc sin gas unidad,
1221376,agua mineral ccu cachantun 350cc individual retornable con gas unidad,
1101682,agua mineral nestle agua mineral con gas  500cc unidad ,
1137201,agua mineral jahuel sin gas 500 cc 12 unidades,
1377783,agua mineral rio cristal 1500 cc 6 unidades,
1234586,"agua mineral eden 1,5 litros con gas pack 6 unidades",
1221383,agua mineral vital 350cc unidad,
1152616,agua purificada manantial bidon 20 litros 5 unidades,
1144945,agua purificada aconcagua botellon 20 litros,
1022514,agua purificada bellacqua botellon 20 litros,
966387,agua purificada benedictino natural 500 cc,
1023267,agua purificada acqualight natural  20 litros,
1023281,agua purificada acqualight natural  20 litros,
1023270,agua purificada acqualight natural  12 litros,
1027007,agua purificada benedictino natural sin gas 500 cc 12 unidades,
1027008,agua purificada benedictino natural con gas 500 cc 12 unidades,
1023275,agua purificada acqualight natural  5 litros,
1234307,agua purificada nestle pure life sin gas bidon 6 litros 4 unidades,
1021766,agua purificada manantial natural  20 l,
1144940,agua purificada aconcagua recarga  20 litros,
1152615,agua purificada manantial bidon 20 litros 10 unidades,
1040226,"agua purificada benedictino sin gas, bidon desechable 6 litros",
1040228,"agua purificada benedictino sin gas, 1500 cc 12 unidades",
1021441,agua purificada late! sin gas 500cc 6 unidades,
1021447,agua purificada late! agua purificada late! sin gas 2lts 6 unidades,
1110617,agua purificada producto lrs agua purificada producto lrs reposicion bidon 20 litros en pack 10 unid,
1110618,agua purificada producto lrs agua purificada producto lrs bidon 20 litros en pack 5 unidades,
1021449,agua purificada late! agua purificada late! con gas 2lts 6 unidades,
1292788,agua purificada dufour sin gas 6 l pack de 2 unidades,
1376448,agua purificada talagante 5 litros unidad,
1021442,agua purificada late! agua purificada late! con gas 500 cc 6 unidades,
1163547,agua purificada manantial vaso con agua de 250 cc caja 48 unidades,
1163546,agua purificada manantial vaso con agua de 250 cc caja 32 unidades,
1376449,agua purificada talagante 10 litros unidad,
1163548,agua purificada manantial vaso con agua de 120 cc caja 72 unidades,
1040227,"agua purificada benedictino sin gas, bidon 6 lts 6 unidades",
1022890,agua purificada aldis mc life bidon 5 litros unidad,
1022888,agua purificada aldis mc life sin gas 3000 cc  unidad,
1180122,agua purificada 8 vertientes sin gas botella desechable 500cc 24 unidades,
1152011,agua purificada cachantun  agua bidon 6 litros  unidad ,
1234303,agua purificada nestle pure life con gas 500cc 12 unidades,
1022886,agua purificada aldis mc life sin gas 2000 cc unidad,
1330579,agua purificada bellacqua botellon desechable 10 lt unidad,
1022882,agua purificada aldis mc life sin gas 500 cc,
966674,agua saborizada ccu cachantun mas sabor manzana sin gas 15 l pack 6 unidades,
966675,agua saborizada ccu cachantun mas sabor pera sin gas 15 l pack 6 unidades,
966695,agua saborizada ccu cachantun sabor citrus pomelo 500 cc unidad,
966647,agua saborizada ccu cachantun sabor citrus durazno 500 cc 6 unidades,
966671,agua saborizada ccu cachantun mas sabor manzana sin gas 500 cc pack 12 unidades,
966672,agua saborizada ccu cachantun mas sabor pera sin gas 500cc pack 12 unidades,
1333103,agua saborizada aquarius sabor pera 15 l unidad,
1333118,agua saborizada aquarius sabor manzana 15 l unidad,
966644,agua saborizada ccu cachantun mas sabor citrus 500 cc 6 unidades,
969155,"agua saborizada soprole next con gas biobalance sabor frambuesa 1,5 l unidad",
969157,"agua saborizada soprole next con gas biobalance sabor limon 1,5 l unidad",
966643,"agua saborizada ccu cachantun mas sabor citrus 1,5 l 6 unidades",
969139,"agua saborizada soprole next con gas biobalance sabor frambuesa 1,5 l 6 unidades",
969141,"agua saborizada soprole next con gas biobalance sabor limon 1,5 l 6 unidades",
969143,"agua saborizada soprole next con gas biobalance sabor mandarina 1,5 l 6 unidades",
1339664,agua saborizada aquarius sabor uva 500 ml unidad,
1339669,agua saborizada aquarius sabor pera 500 ml unidad,
1343973,agua saborizada aquarius sabor manzana 500 ml unidad,
966645,"agua saborizada ccu cachantun mas woman sabor frutos del bosque 1,5 l 6 unidades",
966686,"agua saborizada ccu cachantun mas sabor citrus 1,5 l unidad",
966646,agua saborizada ccu cachantun mas woman sabor ginder limon 500 cc 6 unidades,
966673,agua saborizada ccu cachantun mas sabor uva sin gas 500 cc pack 12 unidades,
966649,agua saborizada ccu cachantun sabor citrus naranja 500 cc 6 unidades,
966650,agua saborizada ccu cachantun sabor citrus pomelo 500 cc 6 unidades,
969140,agua saborizada soprole next con gas biobalance sabor frambuesa 500 cc 6 unidades,
969144,agua saborizada soprole next con gas biobalance sabor mandarina 500 cc 6 unidades,
969150,agua saborizada soprole next con gas biobalance sabor sandia 500 cc 6 unidades,
969156,agua saborizada soprole next con gas biobalance sabor frambuesa 500 cc unidad,
969158,agua saborizada soprole next con gas biobalance sabor limon 500 cc unidad,
969163,agua saborizada soprole next con gas biobalance sabor pina-guayaba 500 cc unidad,
969142,agua saborizada soprole next con gas biobalance sabor limon 500 cc 6 unidades,
