id,text,category,conf,envase,marca,modelo,tp,medida bolsa (bolsa),medida lt (litro),medida tableta (tableta),medida un (unidad1),medida un2 (unidad2),light,medida gr (gramo),sabor,alvacio,marinado,tamaño
1101736,postre refrigerado nestle semola con leche frambuesa 135 grs 36 unidades,"Hielo,Helados Y Postres",1.0,,nestle,leche,postre refrigerado,,,,36.0,,,135.0,frambuesa,,,
1246961,postre refrigerado el vergel compota sabor manzana con avena pote 113 grs 24 unidades,"Hielo,Helados Y Postres",1.0,pote,el vergel,,postre refrigerado,,,,24.0,,,113.0,,,,
1171461,postre refrigerado indalimentos mousse de manjar c/salsa chocolate 125g caja de 24 unidades,,0.6,,,,,,,,,,,,,,,
1301390,postre refrigerado indalimentos flan de caramelo con salsa caramelo 110 g caja de 24 unidades,,0.8,,,,,,,,,,,,,,,
1301562,postre refrigerado indalimentos flan light/diet de frutilla 110 g caja de 24 unidades,,0.8,,,,,,,,,,,,,,,
1021292,postre refrigerado master martini crema sabor panna cotta 12 unidades,"Hielo,Helados Y Postres",1.0,,,crema,postre refrigerado,,,,12.0,,,,,,,
966863,postre refrigerado colun flan sabor vainilla pote  2 k,"Hielo,Helados Y Postres",1.0,pote,colun,flan,postre refrigerado,,,,,,,,vainilla,,,
1171452,postre refrigerado indalimentos mousse de menta c/salsa chocolate 125g caja de 24 unidades,,0.4,,,,,,,,,,,,,,,
1171460,postre refrigerado indalimentos mousse de frutilla c/salsa chocolate 125g caja de 24 unidades,,0.4,,,,,,,,,,,,,,,
1335289,postre refrigerado next jalea pina 120 gr unidad,"Hielo,Helados Y Postres",1.0,,,jalea,postre refrigerado,,,,,,,120.0,piña,,,
1022788,postre refrigerado indalimentos leche asada/caramelo 24 x 140g,"Hielo,Helados Y Postres",1.0,,,leche; leche asada,postre refrigerado,,,,,,,140.0,caramelo,,,
1022819,postre refrigerado indalimentos semola con leche/frambuesa 24 x 140g,"Hielo,Helados Y Postres",1.0,,,leche,postre refrigerado,,,,,,,140.0,frambuesa,,,
1336127,postre refrigerado el vergel frutagurt frutilla-manzana 90 gr caja de 28 unidades,,0.6,,,,,,,,,,,,,,,
1336128,postre refrigerado el vergel frutagurt platano-manzana 90 gr caja de 28 unidades,,0.6,,,,,,,,,,,,,,,
1336129,postre refrigerado el vergel frutagurt mango-platano 90 gr caja de 28 unidades,,0.6,,,,,,,,,,,,,,,
1022774,postre refrigerado indalimentos jalea naranja con fruta 24 x 140g,"Hielo,Helados Y Postres",1.0,,,jalea,postre refrigerado,,,,,,,140.0,naranja,,,
1163670,postre refrigerado indalimentos jalea light/diet de naranja  120g caja de 24 unidades,,0.8,,,,,,,,,,,,,,,
1171445,postre refrigerado indalimentos semola con leche c/salsa caramelo 140g caja de 24 unidades,"Hielo,Helados Y Postres",1.0,caja,,leche,postre refrigerado,,,,24.0,,,140.0,caramelo,,,
1301559,postre refrigerado indalimentos flan light/diet de vainilla 140 g caja de 24 unidades,,0.8,,,,,,,,,,,,,,,
1301561,postre refrigerado indalimentos flan light/diet de toffee 140 g caja de 24 unidades,,0.8,,,,,,,,,,,,,,,
1022744,postre refrigerado indalimentos jalea frambuesa con fruta 24 x 140g,"Hielo,Helados Y Postres",1.0,,,jalea,postre refrigerado,,,,,,,140.0,frambuesa,,,
1171470,postre refrigerado indalimentos mousse de chocolate c/salsa chocolate 125g caja de 24 unidades,,0.6,,,,,,,,,,,,,,,
1301563,postre refrigerado indalimentos flan light/diet de frutilla 140 g caja de 24 unidades,,0.8,,,,,,,,,,,,,,,
1171453,postre refrigerado indalimentos mousse de manjar c/salsa manjar 90g caja de 24 unidades,,0.6,,,,,,,,,,,,,,,
1163684,postre refrigerado indalimentos semola con leche c/salsa caramelo 115g caja de 24 unidades,"Hielo,Helados Y Postres",1.0,caja,,leche,postre refrigerado,,,,24.0,,,115.0,caramelo,,,
